   en BPP.Events.ItemEvent.Objects.PurchaseInvoiceItemEvent.itemAction(String FormUID, ItemEvent& pVal, Boolean& BubbleEvent) en C:\Users\Usuario\source\repos\BPP\BPP\Events\ItemEvent\Objects\PurchaseInvoiceItemEvent.cs:línea 21
   en BPP.Events._ItemEvent.DoAction(String FormUID, ItemEvent& pVal, Boolean& BubbleEvent) en C:\Users\Usuario\source\repos\BPP\BPP\Events\_ItemEvent.cs:línea 23
DEBUG 2022-07-31 21:49:56,599  1538ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 21:50:16,213  1610ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 21:50:33,137  1494ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 21:51:17,383  1473ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 21:51:37,197  1579ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 21:53:17,050  1707ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 21:53:40,065  1604ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 21:55:33,058  1729ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 21:56:58,784  1674ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 21:57:38,766  1920ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 22:02:40,971  1819ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 22:04:02,918  1707ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 22:08:46,978 10223ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 22:10:20,832 12132ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-07-31 22:11:02,044  1940ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:31:12,906  6162ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:31:34,585  2318ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:31:59,400  2345ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:34:37,694  2340ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:42:59,425  2231ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:43:10,595  1899ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:43:22,564  2366ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:43:50,299  2444ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:44:53,954  2475ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:45:31,271  1854ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:45:50,901  1997ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:50:01,195  2401ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:51:01,795  2458ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:51:29,919  1994ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:52:22,265  2287ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-07 23:53:04,507  2340ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-09 23:53:00,204  6319ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-09 23:55:36,119  2166ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:02:08,346  2265ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:02:36,235 30154ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
